_,Register,"Dictionary Version at introduction","Node or
Leaf",Level,"SMPTE Designator
(first 8 octets)",,,,,,,Version,"SMPTE Item Designator
(last 8 octets following Metadata Dictionary Universal Label) ",,,,,,,,,,,"Formatted as UL",,,,,,"Data Element Name","Data Element Definition",Type,,,,,,"Value Length","Value Range",,,"Defining Document",Notes
,Metadata,1,Leaf,4,06,0A,2B,34,01,01,01,1,01,01,04,12,00,00,00,00,,,,06.0A.2B.34.01.01.01.01.01.01.04.12.00.00.00.00,,,,,,"UMID System","Unique Material Identifier for other essence.  Note - this is a 12 byte SMPTE label.   ","As per SMPTE standard",,,,,,"32 bytes",,,,"SMPTE 330M",
,Metadata,1,Leaf,4,06,0A,2B,34,01,01,01,1,01,01,04,20,00,00,00,00,,,,06.0A.2B.34.01.01.01.01.01.01.04.20.00.00.00.00,,,,,,"UMID System","Unique Material Identifier for other essence.  Note - this is a 12 byte SMPTE label.   ","As per SMPTE standard",,,,,,"32 bytes",,,,"SMPTE 330M",
,Metadata,1,Leaf,4,06,0A,2B,34,01,01,01,1,01,01,04,21,00,00,00,00,,,,06.0A.2B.34.01.01.01.01.01.01.04.21.00.00.00.00,,,,,,"UMID System","Unique Material Identifier for other essence.  Note - this is a 12 byte SMPTE label.   ","As per SMPTE standard",,,,,,"32 bytes",,,,"SMPTE 330M",
,Metadata,1,Leaf,4,06,0A,2B,34,01,01,01,1,01,01,04,22,00,00,00,00,,,,06.0A.2B.34.01.01.01.01.01.01.04.22.00.00.00.00,,,,,,"UMID System","Unique Material Identifier for other essence.  Note - this is a 12 byte SMPTE label.   ","As per SMPTE standard",,,,,,"32 bytes",,,,"SMPTE 330M",
,Metadata,5,Node,3,06,0E,2B,34,01,01,01,5,01,01,5,00,0,00,00,00,,,,06.0E.2B.34.01.01.01.05.01.01.05.00.00.00.00.00,,,,,,"UMID Picture","SMPTE330M UMID for single picture component",,,,,,,"32 bytes",,,,"SMPTE330M (revision 2003) ","Leaves within this node are numbered and assigned according to SMPTE 330M (revision 2003) table 3 and table 4"
,Metadata,5,Node,3,06,0E,2B,34,01,01,01,5,01,01,6,00,0,00,00,00,,,,06.0E.2B.34.01.01.01.05.01.01.06.00.00.00.00.00,,,,,,"UMID Multi Picture","SMPTE330M UMID for multiple picture component",,,,,,,"32 bytes",,,,"SMPTE330M (revision 2003) ","Leaves within this node are numbered and assigned according to SMPTE 330M (revision 2003) table 3 and table 4"
,Metadata,5,Node,3,06,0E,2B,34,01,01,01,5,01,01,8,00,0,00,00,00,,,,06.0E.2B.34.01.01.01.05.01.01.08.00.00.00.00.00,,,,,,"UMID Sound","SMPTE330M UMID for single sound component",,,,,,,"32 bytes",,,,"SMPTE330M (revision 2003) ","Leaves within this node are numbered and assigned according to SMPTE 330M (revision 2003) table 3 and table 4"
,Metadata,5,Node,3,06,0E,2B,34,01,01,01,5,01,01,9,00,0,00,00,00,,,,06.0E.2B.34.01.01.01.05.01.01.09.00.00.00.00.00,,,,,,"UMID Multi Sound","SMPTE330M UMID for multiple sound component",,,,,,,"32 bytes",,,,"SMPTE330M (revision 2003) ","Leaves within this node are numbered and assigned according to SMPTE 330M (revision 2003) table 3 and table 4"
,Metadata,5,Node,3,06,0E,2B,34,01,01,01,5,01,01,0B,00,0,00,00,00,,,,06.0E.2B.34.01.01.01.05.01.01.0B.00.00.00.00.00,,,,,,"UMID Single Data","SMPTE330M UMID for single data component",,,,,,,"32 bytes",,,,"SMPTE330M (revision 2003) ","Leaves within this node are numbered and assigned according to SMPTE 330M (revision 2003) table 3 and table 4"
,Metadata,5,Node,3,06,0E,2B,34,01,01,01,5,01,01,0C,00,0,00,00,00,,,,06.0E.2B.34.01.01.01.05.01.01.0C.00.00.00.00.00,,,,,,"UMID Multi Data","SMPTE330M UMID for multiple data component",,,,,,,"32 bytes",,,,"SMPTE330M (revision 2003) ","Leaves within this node are numbered and assigned according to SMPTE 330M (revision 2003) table 3 and table 4"
,Metadata,5,Node,3,06,0E,2B,34,01,01,01,5,01,01,0D,00,0,00,00,00,,,,06.0E.2B.34.01.01.01.05.01.01.0D.00.00.00.00.00,,,,,,"UMID Mixed","SMPTE330M UMID for mixed group of components",,,,,,,"32 bytes",,,,"SMPTE330M (revision 2003) ","Leaves within this node are numbered and assigned according to SMPTE 330M (revision 2003) table 3 and table 4"
,Metadata,5,Node,3,06,0E,2B,34,01,01,01,5,01,01,0F,00,0,00,00,00,,,,06.0E.2B.34.01.01.01.05.01.01.0F.00.00.00.00.00,,,,,,"UMID General","SMPTE330M UMID for unspecified components",,,,,,,"32 bytes",,,,"SMPTE330M (revision 2003) ","Leaves within this node are numbered and assigned according to SMPTE 330M (revision 2003) table 3 and table 4"
,Metadata,1,Node,3,06,0E,2B,34,01,01,01,1,01,01,10,00,0,00,00,00,,,,06.0E.2B.34.01.01.01.01.01.01.10.00.00.00.00.00,,,,,,"International broadcasting organisation identifiers","Internationally recognised identifiers registered by broadcasting organisations",,,,,,,,,,,,
